YEAR,SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
2018,,CUBM,*,Cuban Macaw,Ara tricolor,ARATRI,
2019,,CUBM,*,Cuban Macaw,Ara tricolor,ARATRI,
2020,,CUBM,*,Cuban Macaw,Ara tricolor,ARATRI,
1998,+,CMAR,*,Cuban Martin,Progne cryptoleuca,,*
2000,+,CUMA,,Cuban Martin,Progne cryptoleuca,Procry,*
2002,,CUMA,,Cuban Martin,Progne cryptoleuca,Procry,
2004,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY,
2006,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY,
2008,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY,
2009,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY,
2010,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY,
2011,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY,
2012,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY,
2013,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY
2014,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY
2015,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY
2016,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY
2017,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY
2018,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY
2019,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY
2020,,CUMA,,Cuban Martin,Progne cryptoleuca,PROCRY
2010,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL
2011,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL
2012,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL
2013,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL
2014,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL
2015,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL
2016,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL
2017,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL
2018,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL,
2019,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL,
2020,,CUOR,,Cuban Oriole,Icterus melanopsis,ICTMEL,
1998,+,CPRK,*,Cuban Parakeet,Aratinga euops,,*
2000,+,CPRK,*,Cuban Parakeet,Aratinga euops,Araeuo,*
2002,,CPAK,*,Cuban Parakeet,Aratinga euops,Araeuo,
2004,,CPAK,*,Cuban Parakeet,Aratinga euops,ARAEUO,
2006,,CPAK,*,Cuban Parakeet,Aratinga euops,ARAEUO,
2008,,CPAK,*,Cuban Parakeet,Aratinga euops,ARAEUO,
2009,,CPAK,*,Cuban Parakeet,Aratinga euops,ARAEUO,
2010,,CPAK,*,Cuban Parakeet,Aratinga euops,ARAEUO,
2011,,CPAK,*,Cuban Parakeet,Aratinga euops,ARAEUO,
2012,,CPAK,*,Cuban Parakeet,Aratinga euops,ARAEUO,
2013,,CPAK,*,Cuban Parakeet,Aratinga euops,ARAEUO,
2014,,CPAK,*,Cuban Parakeet,Psittacara euops,PSIEUO,
2015,,CPAK,*,Cuban Parakeet,Psittacara euops,PSIEUO,
2016,,CPAK,*,Cuban Parakeet,Psittacara euops,PSIEUO,
2017,,CPAK,*,Cuban Parakeet,Psittacara euops,PSIEUO,
2018,,CPAK,*,Cuban Parakeet,Psittacara euops,PSIEUO,
2019,,CPAK,*,Cuban Parakeet,Psittacara euops,PSIEUO,
2020,,CPAK,*,Cuban Parakeet,Psittacara euops,PSIEUO,
1998,+,CPRT,*,Cuban Parrot,Amazona leucocephala,,*
2000,+,CPRT,*,Cuban Parrot,Amazona leucocephala,Amaleu,*
2002,,CPAT,*,Cuban Parrot,Amazona leucocephala,Amaleu,
2004,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2006,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2008,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2009,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2010,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2011,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2012,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2013,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2014,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2015,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2016,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2017,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2018,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2019,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
2020,,CPAT,*,Cuban Parrot,Amazona leucocephala,AMALEU,
1998,+,CUPE,,Cuban Pewee,Contopus caribaeus,,*
2000,+,CUPE,,Cuban Pewee,Contopus caribaeus,Concab,*
2002,,CUPE,,Cuban Pewee,Contopus caribaeus,Concab,*
2004,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2006,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2008,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2009,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2010,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2011,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2012,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2013,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2014,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2015,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2016,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2017,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2018,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2019,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
2020,,CUPE,,Cuban Pewee,Contopus caribaeus,CONCAB,*
1998,+,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,,*
2000,+,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,Glasij,*
2002,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,Glasij,
2004,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2006,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2008,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2009,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2010,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2011,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2012,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2013,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2014,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2015,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2016,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2017,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2018,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2019,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
2020,,CUPO,,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,
1998,+,CSCO,*,Cuban Screech-Owl,Otus lawrencii,,*
2000,+,CSCO,*,Cuban Screech-Owl,Otus lawrencii,Otulaw,*
2002,,CSCO,*,Cuban Screech-Owl,Otus lawrencii,Otulaw,
1998,+,CUBS,*,Cuban Solitaire,Myadestes elisabeth,,*
2000,+,CUBS,*,Cuban Solitaire,Myadestes elisabeth,Myaeli,*
2002,,CUBS,*,Cuban Solitaire,Myadestes elisabeth,Myaeli
2004,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2006,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2008,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2009,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2010,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2011,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2012,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2013,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2014,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2015,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2016,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2017,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2018,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2019,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
2020,,CUSO,,Cuban Solitaire,Myadestes elisabeth,MYAELI
1998,+,CUTO,,Cuban Tody,Todus multicolor,,*
2000,+,CUTO,,Cuban Tody,Todus multicolor,Todmul,*
2002,,CUTO,,Cuban Tody,Todus multicolor,Todmul,
2004,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2006,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2008,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2009,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2010,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2011,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2012,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2013,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2014,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2015,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2016,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2017,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2018,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2019,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
2020,,CUTO,,Cuban Tody,Todus multicolor,TODMUL,
1998,+,CUTR,,Cuban Trogon,Priotelus temnurus,,*
2000,+,CUTR,,Cuban Trogon,Priotelus temnurus,Pritem,*
2002,,CUTR,,Cuban Trogon,Priotelus temnurus,Pritem,
2004,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2006,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2008,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2009,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2010,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2011,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2012,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2013,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2014,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2015,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2016,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2017,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2018,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2019,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
2020,,CUTR,,Cuban Trogon,Priotelus temnurus,PRITEM,
1998,+,CUVI,,Cuban Vireo,Vireo gundlachii,,*
2000,+,CUVI,,Cuban Vireo,Vireo gundlachii,Virgun,*
2002,,CUVI,,Cuban Vireo,Vireo gundlachii,Virgun,
2004,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2006,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2008,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2009,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2010,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2011,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2012,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2013,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2014,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2015,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2016,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2017,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2018,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2019,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
2020,,CUVI,,Cuban Vireo,Vireo gundlachii,VIRGUN,
1998,+,CUSA,,Curlew Sandpiper,Calidris ferruginea,,*
2000,+,CUSA,,Curlew Sandpiper,Calidris ferruginea,Calfer,*
2002,,CUSA,,Curlew Sandpiper,Calidris ferruginea,Calfer,
2004,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2006,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2008,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2009,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2010,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2011,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2012,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2013,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2014,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2015,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2016,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2017,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2018,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2019,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
2020,,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,
1998,+,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,,*
2000,+,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,Toxcur,*
2002,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,Toxcur,
2004,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2006,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2008,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2009,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2010,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2011,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2012,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2013,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2014,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2015,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2016,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2017,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2018,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2019,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
2020,,CBTH,,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,
1998,+,DAPE,,Dark Pewee,Contopus lugubris,,*
2000,+,DAPE,,Dark Pewee,Contopus lugubris,Conlug,*
2002,,DAPE,,Dark Pewee,Contopus lugubris,Conlug,
2004,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2006,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2008,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2009,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2010,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2011,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2012,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2013,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2014,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2015,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2016,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2017,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2018,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2019,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
2020,,DAPE,,Dark Pewee,Contopus lugubris,CONLUG,
1998,+,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,,*
2000,+,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,Cocmel,*
2002,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,Cocmel,
2004,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2006,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2008,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2009,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2010,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2011,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2012,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2013,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2014,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2015,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2016,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2017,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2018,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2019,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
2020,,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,
1998,+,DEJU,,Dark-eyed Junco,Junco hyemalis,,*
2000,+,DEJU,,Dark-eyed Junco,Junco hyemalis,Junhye,*
2002,,DEJU,,Dark-eyed Junco,Junco hyemalis,Junhye
2004,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2006,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2008,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2009,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2010,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2011,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2012,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2013,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2014,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2015,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2016,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2017,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2018,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2019,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
2020,,DEJU,,Dark-eyed Junco,Junco hyemalis,JUNHYE
1998,+,DRPE,,Dark-rumped Petrel,Pterodroma phaeopygia,,*
2000,+,DRPE,,Dark-rumped Petrel,Pterodroma phaeopygia,Ptepha,*
2004,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2006,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2008,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2009,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2010,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2011,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2012,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2013,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2014,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2015,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2016,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2017,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2018,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2019,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
2020,,DSFL,,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,
1998,+,DICK,,Dickcissel,Spiza americana,,*
2000,+,DICK,,Dickcissel,Spiza americana,Spiame,*
2002,,DICK,,Dickcissel,Spiza americana,Spiame,
2004,,DICK,,Dickcissel,Spiza americana,SPIAME,
2006,,DICK,,Dickcissel,Spiza americana,SPIAME,
2008,,DICK,,Dickcissel,Spiza americana,SPIAME,
2009,,DICK,,Dickcissel,Spiza americana,SPIAME,
2010,,DICK,,Dickcissel,Spiza americana,SPIAME,
2011,,DICK,,Dickcissel,Spiza americana,SPIAME,
2012,,DICK,,Dickcissel,Spiza americana,SPIAME,
2013,,DICK,,Dickcissel,Spiza americana,SPIAME,
2014,,DICK,,Dickcissel,Spiza americana,SPIAME,
2015,,DICK,,Dickcissel,Spiza americana,SPIAME,
2016,,DICK,,Dickcissel,Spiza americana,SPIAME,
2017,,DICK,,Dickcissel,Spiza americana,SPIAME,
2018,,DICK,,Dickcissel,Spiza americana,SPIAME,
2019,,DICK,,Dickcissel,Spiza americana,SPIAME,
2020,,DICK,,Dickcissel,Spiza americana,SPIAME,
1998,+,DWAN,,Dot-winged Antwren,Microrhopias quixensis,,*
2000,+,DWAN,,Dot-winged Antwren,Microrhopias quixensis,Micqui,*
2002,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,Micqui,
2004,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2006,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2008,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2009,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2010,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2011,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2012,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2013,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2014,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2015,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2016,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2017,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2018,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2019,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
2020,,DWAN,,Dot-winged Antwren,Microrhopias quixensis,MICQUI,
1998,+,DBGR,,Double-banded Graytail,Xenerpestes minlosi,,*
2000,+,DBGR,,Double-banded Graytail,Xenerpestes minlosi,Xenmil,*
2002,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,Xenmil,*
2004,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2006,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2008,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2009,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2010,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2011,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2012,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2013,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2014,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2015,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2016,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2017,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2018,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2019,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
2020,,DBGR,,Double-banded Graytail,Xenerpestes minlosi,XENMIL,*
1998,+,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,,*
2000,+,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,Phaaut,*
2002,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,Phaaut,*
2004,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2006,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2008,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2009,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2010,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2011,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2012,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2013,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2014,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2015,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2016,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2017,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2018,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2019,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
2020,,DCCO,,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,*
1998,+,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,,*
2000,+,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,Burbis,*
2002,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,Burbis,
2004,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2006,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2008,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2009,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2010,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2011,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2012,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2013,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2014,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
2015,,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,
