Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Taxonomic Order,Comments
200,LEAU,Least Auklet,"2, 3, 2A",Starique minuscule,Aethia pusilla,,389,
210,ANMU,Ancient Murrelet,"3, 3B",Guillemot à cou blanc,Synthliboramphus antiquus,,386,
230,MAMU,Marbled Murrelet,"3, 3B",Guillemot marbré,Brachyramphus marmoratus,Y,380,
231,LBMU,Long-billed Murrelet,"3B, 3",Guillemot à long bec,Brachyramphus perdix,,378,
232,AMMU,Alaska Marbled Murrelet,"3, 3B",Guillemot à long bec,Brachyramphus marmoratus,,379,Alaskan populations of Marbled Murrelet (not endangered).
240,KIMU,Kittlitz's Murrelet,3,Guillemot de Kittlitz,Brachyramphus brevirostris,,381,
250,XAMU,Xantus's Murrelet,"2, 2A",Guillemot de Xantus,,,382,Unspecified Synthliboramphus scrippsi / S. hypoleucus.
251,SCMU,Scripps's Murrelet,"2, 2A",Guillemot de Scripps,Synthliboramphus scrippsi,,383,Split from XAMU (0250) in August 2012.
252,GUMU,Guadalupe Murrelet,"2, 2A",Guillemot de Xantus,Synthliboramphus hypoleucus,,384,Split from XAMU (0250) in August 2012.
260,CRMU,Craveri's Murrelet,2,Guillemot de Craveri,Synthliboramphus craveri,,385,
270,BLGU,Black Guillemot,"4, 4A",Guillemot à miroir,Cepphus grylle,,376,
290,PIGU,Pigeon Guillemot,"4, 4A",Guillemot colombin,Cepphus columba,,377,
300,COMU,Common Murre,"6M, 6",Guillemot marmette,Uria aalge,,373,
310,TBMU,Thick-billed Murre,"6M, 5R, 6, 5",Guillemot de Brünnich,Uria lomvia,,374,
320,RAZO,Razorbill,"5R, 6M",Petit Pingouin,Alca torda,,375,
340,DOVE,Dovekie,"3, 2A",Mergule nain,Alle alle,,372,
350,GRSK,Great Skua,"7A, 7B",Grand Labbe,Stercorarius skua,,365,
352,SPSK,South Polar Skua,"7A, 7B",Labbe de McCormick,Stercorarius maccormicki,,366,
360,POJA,Pomarine Jaeger,5,Labbe pomarin,Stercorarius pomarinus,,369,
370,PAJA,Parasitic Jaeger,"3A, 4, 4A",Labbe parasite,Stercorarius parasiticus,,370,
380,LTJA,Long-tailed Jaeger,"4, 4A",Labbe à longue queue,Stercorarius longicaudus,,371,
390,IVGU,Ivory Gull,4,Mouette blanche,Pagophila eburnea,Newfoundland and Labrador,398,
390,IVGU,Ivory Gull,4,Mouette blanche,Pagophila eburnea,Northwest Territories,,
390,IVGU,Ivory Gull,4,Mouette blanche,Pagophila eburnea,Nunavut,,
391,MAGU,Magellan Gull,5,Goéland de Scoresby,Leucophaeus scoresbii,,404,
400,BLKI,Black-legged Kittiwake,"4A, 5, 4",Mouette tridactyle,Rissa tridactyla,,396,
410,RLKI,Red-legged Kittiwake,"4A, 4, 3A",Mouette des brumes,Rissa brevirostris,,397,
420,GLGU,Glaucous Gull,7A,Goéland bourgmestre,Larus hyperboreus,,420,"Size 6 for northern subspecies, barrovanius."
430,ICGU,Iceland Gull,6,Goéland arctique,Larus glaucoides,,416,
431,THGU,Thayer's Gull,6,Goéland de Thayer,Larus glaucoides thayeri,,415,
440,GWGU,Glaucous-winged Gull,"7A, 7, 7B",Goéland à ailes grises,Larus glaucescens,,419,
446,HYGU,Hybrid Gull,"6, 7A, 7",Hybride de goélands,,,423,
470,GBBG,Great Black-backed Gull,"7B, 7, 7A",Goéland marin,Larus marinus,,421,
480,SBGU,Slaty-backed Gull,7A,Goéland à manteau ardoisé,Larus schistisagus,,418,
490,WEGU,Western Gull,"6, 7A",Goéland d'Audubon,Larus occidentalis,,411,
491,YFGU,Yellow-footed Gull,6,Goéland de Cortez,Larus livens,,412,
500,LBBG,Lesser Black-backed Gull,6,Goéland brun,Larus fuscus,,417,
510,HERG,Herring Gull,"6, 7A",Goéland argenté,Larus argentatus,,414,
530,CAGU,California Gull,"5, 5A",Goéland de Californie,Larus californicus,,413,
534,UNGU,Unidentified Gull,"5, 5A",Goéland non identifié,,,424,Explain in Remarks why the unidentified code was chosen
540,RBGU,Ring-billed Gull,"5, 4A, 5A",Goéland à bec cerclé,Larus delawarensis,,410,
542,BTGU,Band-tailed Gull,5,Goéland siméon,Larus belcheri,,407,
550,MEGU,Mew Gull,"4A, 4, 5",Goéland cendré,Larus canus,,409,
551,BHGU,Black-headed Gull,5,Mouette rieuse,Chroicocephalus ridibundus,,401,
570,HEEG,Heermann's Gull,4A,Goéland de Heermann,Larus heermanni,,408,
580,LAGU,Laughing Gull,"5, 4A, 4",Mouette atricille,Leucophaeus atricilla,,405,
590,FRGU,Franklin's Gull,4,Mouette de Franklin,Leucophaeus pipixcan,,406,
600,BOGU,Bonaparte's Gull,"3, 3B",Mouette de Bonaparte,Chroicocephalus philadelphia,,400,
601,LIGU,Little Gull,3,Mouette pygmée,Hydrocoloeus minutus,,402,
610,ROGU,Ross's Gull,3,Mouette rosée,Rhodostethia rosea,Manitoba,403,
610,ROGU,Ross's Gull,3,Mouette rosée,Rhodostethia rosea,Nunavut,,
620,SAGU,Sabine's Gull,"3, 3B",Mouette de Sabine,Xema sabini,,399,
630,GBTE,Gull-billed Tern,"3B, 3A",Sterne hansel,Gelochelidon nilotica,,437,
640,CATE,Caspian Tern,"5, 4A",Sterne caspienne,Hydroprogne caspia,,438,
650,ROYT,Royal Tern,"4, 4A",Sterne royale,Thalasseus maximus,,450,
652,CRTE,Crested Tern,"3, 3B",Sterne huppée,Thalasseus bergii,,451,
660,ELTE,Elegant Tern,3,Sterne élégante,Thalasseus elegans,,454,
670,SATE,Sandwich Tern,3B,Sterne caugek,Thalasseus sandvicensis,,452,
671,CAYT,Cayenne Tern,3B,Sterne de Cayenne,Thalasseus acuflavidus eurygnathus,,453,
690,FOTE,Forster's Tern,3,Sterne de Forster,Sterna forsteri,,449,
700,COTE,Common Tern,"2A, 2",Sterne pierregarin,Sterna hirundo,,445,Hard metal bands recommended.
706,HYTE,Hybrid Tern,"2, 2A",Hybride de sternes,,,455,Report suspected parentage as a remark (e.g. Species1 x Species2).
710,ARTE,Arctic Tern,"2, 2A",Sterne arctique,Sterna paradisaea,,446,
720,ROST,Roseate Tern,"2, 2A",Sterne de Dougall,Sterna dougallii,Y,442,Hard metal bands recommended.
725,HCRT,Common Tern X Roseate Tern Hybrid,2,Hybride COTE X ROST,,,444,Sterna hirundo X S. dougallii
730,ALTE,Aleutian Tern,"2, 2A, 1D",Sterne des Aléoutiennes,Onychoprion aleuticus,,432,
731,BNTE,Black-naped Tern,2,Sterne diamant,Sterna sumatrana,,443,
740,LETE,Least Tern,"1A, 1B",Petite Sterne,Sternula antillarum,,434,
741,LITE,Little Tern,1A,Sterne naine,Sternula albifrons,,433,
742,ILTE,Interior Least Tern,"1A, 1B",Petite Sterne (intérieure),Sternula antillarum athalassos,Y,435,
743,CLTE,California Least Tern,"1A, 1B",Petite Sterne (Californie),Sternula antillarum browni,Y,436,
750,SOTE,Sooty Tern,3,Sterne fuligineuse,Onychoprion fuscatus,,429,
760,BRTE,Bridled Tern,"2A, 3, 2",Sterne bridée,Onychoprion anaethetus,,431,
761,GRAT,Gray-backed Tern,"2, 2A",Sterne à dos gris,Onychoprion lunatus,,430,
770,BLTE,Black Tern,"1D, 1A, 2",Guifette noire,Chlidonias niger,,439,
780,WWTE,White-winged Tern,2,Guifette leucoptère,Chlidonias leucopterus,,440,
781,WHIT,Whiskered Tern,2,Guifette moustac,Chlidonias hybrida,,441,
790,BRNO,Brown Noddy,3,Noddi brun,Anous stolidus,,425,
791,BLNO,Black Noddy,"2, 3, 2A",Noddi noir,Anous minutus,,426,
792,BGNO,Blue-gray Noddy,"2, 1D, 2A",Noddi bleu,Anous ceruleus,,427,
793,WHTE,White Tern,"2, 2A",Gygis blanche,Gygis alba,,428,
800,BLSK,Black Skimmer,"4, 4A, 3A, 4V",Bec-en-ciseaux noir,Rynchops niger,,456,
810,BFAL,Black-footed Albatross,7B,Albatros à pieds noirs,Phoebastria nigripes,,126,
811,WAAL,Wandering Albatross,8,Albatros hurleur,Diomedea exulans,,124,
816,HYAL,Hybrid Albatross,"7B, 8, 7D",Hybride albatros,,,121,Report suspected parentage as a remark (e.g. Species1 x Species2).
820,STAL,Short-tailed Albatross,8,Albatros à queue courte,Phoebastria albatrus,Y,128,
821,LAAL,Laysan Albatross,7B,Albatros de Laysan,Phoebastria immutabilis,,125,
822,BBAL,Black-browed Albatross,8,Albatros à sourcils noirs,Thalassarche melanophris,,117,
823,SHAL,Shy Albatross,8,Albatros à cape blanche,Thalassarche cauta,,116,
824,WAVA,Waved Albatross,8,Albatros des Galapagos,Phoebastria irrorata,,127,
830,YNAL,Yellow-nosed Albatross,8,Albatros à nez jaune,Thalassarche chlororhynchos,,115,
860,NOFU,Northern Fulmar,"6, 5A",Fulmar boréal,Fulmarus glacialis,,131,
880,COSH,Cory's Shearwater,4,Puffin cendré,Calonectris diomedea,,157,
881,STRS,Streaked Shearwater,3B,Puffin leucomèle,Calonectris leucomelas,,156,
890,GRSH,Great Shearwater,"6, 5, 5R",Puffin majeur,Ardenna gravis,,160,
900,MASH,Manx Shearwater,"4A, 4",Puffin des Anglais,Puffinus puffinus,,166,
910,PFSH,Pink-footed Shearwater,"5, 4A",Puffin à pieds roses,Puffinus creatopus,British Columbia,158,
920,AUSH,Audubon's Shearwater,"3B, 3A",Puffin d'Audubon,Puffinus lherminieri,,170,
921,LISH,Little Shearwater,4,Petit Puffin,Puffinus assimilis,,172,
922,TRSH,Tropical Shearwater,"3, 3B, 3A",,Puffinus bailloni,,171,
930,BVSH,Black-vented Shearwater,4,Puffin cul-noir,Puffinus opisthomelas,,169,
931,TOSH,Townsend's Shearwater,4,Puffin de Townsend,Puffinus auricularis,,168,
932,NESH,Newell's Shearwater,"4, 4A",Puffin de Newell,Puffinus newelli,Y,167,
950,SOSH,Sooty Shearwater,"5, 5A, 4A",Puffin fuligineux,Ardenna grisea,,163,
951,FFSH,Flesh-footed Shearwater,4,Puffin à pieds pâles,Ardenna carneipes,,159,
960,SHOS,Short-tailed Shearwater,"5, 4A",Puffin à bec grêle,Ardenna tenuirostris,,164,
961,WTSH,Wedge-tailed Shearwater,"5, 4A, 4",Puffin fouquet,Ardenna pacifica,,161,
962,BULS,Buller's Shearwater,4,Puffin de Buller,Ardenna bulleri,,162,
963,CHSH,Christmas Shearwater,"4, 4A",Puffin de la Nativité,Puffinus nativitatis,,165,
980,BCPE,Black-capped Petrel,3A,Pétrel diablotin,Pterodroma hasitata,,144,
983,COPE,Cook's Petrel,3,Pétrel de Cook,Pterodroma cookii,,151,
985,HAPE,Hawaiian Petrel,"4, 3A",Pétrel des Hawaï,Pterodroma sandwichensis,Y,148,
986,TRPE,Trindade Petrel,4,Pétrel de Trindade,Pterodroma arminjoniana,,146,
987,JFPE,Juan Fernandez Petrel,3,Pétrel de Juan Fernandez,Pterodroma externa,,145,
988,PHPE,Phoenix Petrel,"4, 3A, 3B",Pétrel à poitrine blanche,Pterodroma alba,,147,
990,MOPE,Mottled Petrel,3,Pétrel maculé,Pterodroma inexpectata,,143,
991,BOPE,Bonin Petrel,"3, 3B, 2A",Pétrel des Bonin,Pterodroma hypoleuca,,149,
992,BWPE,Black-winged Petrel,2,Pétrel à ailes noires,Pterodroma nigripennis,,150,
1001,MUPE,Murphy's Petrel,"3, 3B, 3A",Pétrel de Murphy,Pterodroma ultima,,142,
1003,STPE,Stejneger's Petrel,3,Pétrel de Stejneger,Pterodroma longirostris,,152,
1004,TAPE,Tahiti Petrel,4,Pétrel de Tahiti,Pseudobulweria rostrata,,153,
1010,BUPE,Bulwer's Petrel,"2, 2A, 3",Pétrel de Bulwer,Bulweria bulwerii,,154,
1020,CAPE,Cape Petrel,"4, 4A",Damier du Cap,Daption capense,,134,
1030,LTSP,Least Storm-Petrel,1B,Océanite minute,Hydrobates microsoma,,184,
1050,FTSP,Fork-tailed Storm-Petrel,"1B, 1A",Océanite à queue fourchue,Hydrobates furcatus,,177,
1060,LHSP,Leach's Storm-Petrel,"1B, 1A",Océanite cul-blanc,Hydrobates leucorhous,,178,
1062,BANP,Band-rumped Storm-Petrel,"1B, 1A, 1",Océanite de Castro,Hydrobates castro,,180,
1063,WRSP,Wedge-rumped Storm-Petrel,1B,Océanite téthys,Hydrobates tethys,,181,
1070,BLSP,Black Storm-Petrel,"1A, 1B",Océanite noir,Hydrobates melania,,182,
1071,TRSP,Tristram's Storm-Petrel,"2, 2A",Océanite de Tristram,Hydrobates tristrami,,183,
1080,ASSP,Ashy Storm-Petrel,1B,Océanite cendré,Hydrobates homochroa,,179,
1090,WISP,Wilson's Storm-Petrel,"1B, 1A",Océanite de Wilson,Oceanites oceanicus,,173,
1101,WHSP,White-throated Storm-Petrel,"3, 2A, 2",Océanite à gorge blanche,Nesofregetta fuliginosa,,176,
1110,WFSP,White-faced Storm-Petrel,3,Océanite frégate,Pelagodroma marina,,175,
1120,WTTR,White-tailed Tropicbird,"4, 4A, 3A",Phaéton à bec jaune,Phaethon lepturus,,185,
1130,RBTR,Red-billed Tropicbird,4A,Phaéton à bec rouge,Phaethon aethereus,,186,
1131,RTTR,Red-tailed Tropicbird,"5, 4A, 5A",Phaéton à brins rouges,Phaethon rubricauda,,187,
1140,MABO,Masked Booby,"7B, 8",Fou masqué,Sula dactylatra,,192,
1141,BFBO,Blue-footed Booby,"7B, 7, 7A",Fou à pieds bleus,Sula nebouxii,,194,
1142,NABO,Nazca Booby,"7B, 8",Fou de Grant,Sula granti,,193,Band size unknown; may be same as Masked Booby.
1150,BRBO,Brown Booby,"7B, 7",Fou brun,Sula leucogaster,,195,
1160,RFBO,Red-footed Booby,"7A, 7, 7B",Fou à pieds rouges,Sula sula,,196,
1170,NOGA,Northern Gannet,8,Fou de Bassan,Morus bassanus,,197,
1180,ANHI,Anhinga,"7B, 8",Anhinga d'Amérique,Anhinga anhinga,,206,
1190,GRCO,Great Cormorant,8,Grand Cormoran,Phalacrocorax carbo,,201,
1200,DCCO,Double-crested Cormorant,"8, 7B, 7D",Cormoran à aigrettes,Phalacrocorax auritus,,200,
1201,GUCO,Guanay Cormorant,8,Cormoran de Bougainville,Leucocarbo bougainvillii,,204,
1210,NECO,Neotropic Cormorant,"7B, 7, 7A",Cormoran vigua,Phalacrocorax brasilianus,,199,
1220,BRAC,Brandt's Cormorant,8,Cormoran de Brandt,Phalacrocorax penicillatus,,198,
1230,PECO,Pelagic Cormorant,"7B, 7, 7D",Cormoran pélagique,Phalacrocorax pelagicus,,203,
1240,RFCO,Red-faced Cormorant,"8, 7B, 7D",Cormoran à face rouge,Phalacrocorax urile,,202,
1250,AWPE,American White Pelican,"9, 9C, 8A",Pélican d'Amérique,Pelecanus erythrorhynchos,,207,
1260,BRPE,Brown Pelican,"8A, 9, 8",Pélican brun,Pelecanus occidentalis,,208,
1280,MAFR,Magnificent Frigatebird,"7B, 7, 7A",Frégate superbe,Fregata magnificens,,189,Require 7B or 7A short.
1281,GRFR,Great Frigatebird,"7B, 7, 7A",Frégate du Pacifique,Fregata minor,,190,Require 7B or 7A short.
1282,LEFR,Lesser Frigatebird,"7A, 7",Frégate ariel,Fregata ariel,,191,Require 7A short.
1290,COME,Common Merganser,"7A, 7",Grand Harle,Mergus merganser,,81,
1300,RBME,Red-breasted Merganser,"6, 7A",Harle huppé,Mergus serrator,,82,
1310,HOME,Hooded Merganser,"5, 5A, 6",Harle couronné,Lophodytes cucullatus,,80,
1320,MALL,Mallard,"7A, 7",Canard colvert,Anas platyrhynchos,,45,
1321,HAWD,Hawaiian Duck,"6, 7A",Canard des Hawaï,Anas wyvilliana,Y,48,
1322,LADU,Laysan Duck,"5, 5A, 6",Canard de Laysan,Anas laysanensis,Y,49,
1323,MHDH,Mallard X Hawaiian Duck Hybrid,"7A, 6",Canard,,,50,Anas platyrhynchos X A. wyvilliana
1325,MBDX,Mallard X American Black Duck Intermediate,7A,,,,42,Anas platyrhynchos X A. rubripes
1326,MBDH,Mallard X American Black Duck Hybrid,7A,Hybride de canard colvert X canard noir,,,43,Anas platyrhynchos X A. rubripes
1327,MALX,Mallard Dominant X American Black Duck Hybrid,7A,,,,44,Anas platyrhynchos X A. rubripes
1330,ABDU,American Black Duck,7A,Canard noir,Anas rubripes,,40,
1331,MEDU,Mexican Duck,7A,Canard du Mexique,Anas diazi,,47,
1332,PBDU,Pacific Black Duck,"7A, 7, 6",,Anas superciliosa,,39,
1337,ABDX,American Black Duck Dominant X Mallard Hybrid,7A,,,,41,Anas rubripes X A. platyrhynchos
1340,MODU,Mottled Duck,7A,Canard brun,Anas fulvigula,,46,
1350,GADW,Gadwall,6,Canard chipeau,Mareca strepera,,35,
1360,EUWI,Eurasian Wigeon,6,Canard siffleur,Mareca penelope,,37,
1370,AMWI,American Wigeon,6,Canard d'Amérique,Mareca americana,,38,
1371,FATE,Falcated Teal,4A,Canard à faucilles,Mareca falcata,,36,
1380,EGWT,European Green-winged Teal,"4, 4A",Sarcelle d'hiver (nominal),Anas crecca crecca,,58,
1390,AGWT,Green-winged Teal,"4, 4A",Sarcelle d'hiver,Anas crecca,,59,
1391,BATE,Baikal Teal,4A,Sarcelle élégante,Sibirionetta formosa,,57,
1392,GARG,Garganey,"4A, 4",Sarcelle d'été,Spatula querquedula,,56,
1400,BWTE,Blue-winged Teal,"5, 4A",Sarcelle à ailes bleues,Spatula discors,,51,
1401,UNTE,Unidentified Teal,"5, 4A",Sarcelle non identifiée,,,60,Explain in Remarks why the unidentified code was chosen
1410,CITE,Cinnamon Teal,"5, 4A",Sarcelle cannelle,Spatula cyanoptera,,52,
1420,NSHO,Northern Shoveler,"5, 6, 5A",Canard souchet,Spatula clypeata,,53,
1430,NOPI,Northern Pintail,6,Canard pilet,Anas acuta,,55,
1431,WHIP,White-cheeked Pintail,"5, 5A",Canard des Bahamas,Anas bahamensis,,54,
1436,OHDU,Other Hybrid Duck,"7A, 6, 5A, 5",Autre canard hybride,,,85,Bander must determine appropriate size for each bird. Report suspected parentage as a remark (e.g. Species1 x Species2).
1440,WODU,Wood Duck,"M: 5A, 6, 5",Canard branchu,Aix sponsa,,34,
1440,WODU,Wood Duck,"F: 5A, 5, 6",Canard branchu,Aix sponsa,,34,
1441,MUDU,Muscovy Duck,"7B, 7A",Canard musqué,Cairina moschata,,33,
1460,REDH,Redhead,"6, 7A",Fuligule à tête rouge,Aythya americana,,62,
1461,CPOC,Common Pochard,"6, 7A",Fuligule milouin,Aythya ferina,,63,
1470,CANV,Canvasback,7A,Fuligule à dos blanc,Aythya valisineria,,61,
1480,GRSC,Greater Scaup,"6, 5A, 5",Fuligule milouinan,Aythya marila,,66,
1490,LESC,Lesser Scaup,"6, 5A, 5",Petit Fuligule,Aythya affinis,,67,
1491,TUDU,Tufted Duck,5,Fuligule morillon,Aythya fuligula,,65,
1500,RNDU,Ring-necked Duck,"6, 5A",Fuligule à collier,Aythya collaris,,64,
1510,COGO,Common Goldeneye,"6, 7A",Garrot à oeil d'or,Bucephala clangula,,78,
1520,BAGO,Barrow's Goldeneye,"7A, 6",Garrot d'Islande,Bucephala islandica,,79,
1530,BUFF,Bufflehead,"5, 5A",Petit Garrot,Bucephala albeola,,77,
1540,LTDU,Long-tailed Duck,"6, 5A, 5",Harelde kakawi,Clangula hyemalis,,76,
1550,HARD,Harlequin Duck,"5, 5A",Arlequin plongeur,Histrionicus histrionicus,,72,
1570,STEI,Steller's Eider,"7A, 6",Eider de Steller,Polysticta stelleri,Y,68,
1580,SPEI,Spectacled Eider,"7A, 6",Eider à lunettes,Somateria fischeri,Y,69,
1590,COEI,Common Eider,"M: 7B, 7, 7A",Eider à duvet,Somateria mollissima,,71,
1590,COEI,Common Eider,"F: 7A, 7, 7B",Eider à duvet,Somateria mollissima,,71,
1620,KIEI,King Eider,"7A, 6, 7, 7B",Eider à tête grise,Somateria spectabilis,,70,
1630,BLSC,Black Scoter,7A,Macreuse à bec jaune,Melanitta americana,,75,
1650,WWSC,White-winged Scoter,"7A, 7",Macreuse brune,Melanitta deglandi,,74,
1660,SUSC,Surf Scoter,7A,Macreuse à front blanc,Melanitta perspicillata,,73,
1670,RUDU,Ruddy Duck,"M: 7A, 6",Érismature rousse,Oxyura jamaicensis,,84,
1670,RUDU,Ruddy Duck,"F: 6, 7A",Érismature rousse,Oxyura jamaicensis,,84,
1680,MADU,Masked Duck,5,Érismature routoutou,Nomonyx dominicus,,83,
1690,LSGO,Lesser Snow Goose,7B,Oie des neiges (Petite),Anser caerulescens caerulescens,,10,
1691,BLGO,Blue Goose,7B,Oie des neiges (Phase bleue),Anser caerulescens,,11,
1695,SBGI,Snow X Blue Goose Intergrade,7B,Oie des neiges (Intermédiaire),,,12,
1698,BGSG,Blue Greater Snow Goose,7B,,,,13,
1699,GSGO,Greater Snow Goose,7B,Oie des neiges (Grande),Anser caerulescens atlantica,,14,
1700,ROGO,Ross's Goose,7B,Oie de Ross,Anser rossii,,16,
1703,SRGH,Snow X Ross's Goose Hybrid,7B,Hybride d'oie des neiges et de Ross,,,15,
1710,GWFG,Greater White-fronted Goose,"7B, 8",Oie rieuse,Anser albifrons,,6,
1711,TABG,Taiga Bean-Goose,"7B, 8",Oie des moissons,Anser fabalis,,4,
1712,PFGO,Pink-footed Goose,7B,Oie à bec court,Anser brachyrhynchus,,5,
1713,LWFG,Lesser White-fronted Goose,7A,Oie naine,Anser erythropus,,7,
1716,OHGO,Other Hybrid Goose,"8, 7B",Autre oie hybride,,,27,Report suspected parentage as a remark (e.g. Species1 x Species2).
1719,TWFG,Tule White-fronted Goose,8,Oie rieuse,Anser albifrons elgasi,,8,
1720,CAGO,Canada Goose,8,Bernache du Canada,Branta canadensis,,25,
1721,ACGO,Aleutian Canada Goose,"7B, 7",Bernache de Hutchins (race des Aléoutiennes),Branta hutchinsii leucopareia,,21,
1722,CACG,Cackling Goose,"7A, 7, 7B",Bernache de Hutchins,Branta hutchinsii,,22,
1723,LCGO,Large Canada Goose,8,Grande bernache du Canada,Branta canadensis maxima,,23,
1729,SCGO,Small Canada Goose,"7B, 7",Petite bernache du Canada (Hutchins),Branta canadensis parvipes,,24,
1730,ATBR,Atlantic Brant,"7B, 7",Bernache cravant de l'Atlantique,Branta bernicla hrota,,17,
1731,BABI,Black X Atlantic Brant Intergrade,"7A, 7, 7B",Inter bernache noire X bernache cravant,,,18,
1740,BLBR,Black Brant,"7A, 7, 7B",Bernache noire,Branta bernicla nigricans,,19,
1750,BRNG,Barnacle Goose,7B,Bernache nonnette,Branta leucopsis,,20,
1751,HAGO,Hawaiian Goose,"8, 7B",Bernache néné,Branta sandvicensis,Y,26,
1760,EMGO,Emperor Goose,7B,Oie empereur,Anser canagicus,,9,
1770,BBWD,Black-bellied Whistling-Duck,"7A, 7",Dendrocygne à ventre noir,Dendrocygna autumnalis,,1,
1771,WIWD,West Indian Whistling-Duck,7B,Dendrocygne des Antilles,Dendrocygna arborea,,2,
1780,FUWD,Fulvous Whistling-Duck,"7A, 7",Dendrocygne fauve,Dendrocygna bicolor,,3,
1782,MUSW,Mute Swan,9C,Cygne tuberculé,Cygnus olor,,28,
1790,WHOS,Whooper Swan,9,Cygne chanteur,Cygnus cygnus,,32,
1800,WHSW,Whistling Swan,9,Cygne siffleur,Cygnus columbianus columbianus,,30,
1801,BESW,Bewick's Swan,9,Cygne de Bewick,Cygnus columbianus bewickii,,31,
1810,TRUS,Trumpeter Swan,"9C, 9",Cygne trompette,Cygnus buccinator,,29,
1820,AMFL,American Flamingo,"8, 8A",Flamant des Caraïbes,Phoenicopterus ruber,,100,
1830,ROSP,Roseate Spoonbill,7B,Spatule rosée,Platalea ajaja,,228,
1840,WHIB,White Ibis,"6, 7A",Ibis blanc,Eudocimus albus,,224,
1850,SCIB,Scarlet Ibis,6,Ibis rouge,Eudocimus ruber,,225,
1860,GLIB,Glossy Ibis,6,Ibis falcinelle,Plegadis falcinellus,,226,
1870,WFIB,White-faced Ibis,6,Ibis à face blanche,Plegadis chihi,,227,
1880,WOST,Wood Stork,8,Tantale d'Amérique,Mycteria americana,Y,188,
1900,AMBI,American Bittern,M: 7A,Butor d'Amérique,Botaurus lentiginosus,,209,
1900,AMBI,American Bittern,F: 6,Butor d'Amérique,Botaurus lentiginosus,,209,
1910,LEBI,Least Bittern,4,Petit Blongios,Ixobrychus exilis,Manitoba,211,
1910,LEBI,Least Bittern,4,Petit Blongios,Ixobrychus exilis,New Brunswick,211,
1910,LEBI,Least Bittern,4,Petit Blongios,Ixobrychus exilis,Nova Scotia,211,
1910,LEBI,Least Bittern,4,Petit Blongios,Ixobrychus exilis,Ontario,211,
1910,LEBI,Least Bittern,4,Petit Blongios,Ixobrychus exilis,Québec,211,
1911,YEBI,Yellow Bittern,4,Blongios de Chine,Ixobrychus sinensis,,210,
1920,GWHE,Great White Heron,8,Grand Héron blanc,Ardea herodias occidentalis,,212,
1940,GBHE,Great Blue Heron,"7B, 8",Grand Héron,Ardea herodias,,213,
1960,GREG,Great Egret,"7B, 7A, 7",Grande Aigrette,Ardea alba,,214,
1969,PRHE,Pacific Reef Heron,7A,Aigrette à gorge blanche,Egretta sacra,,215,
1970,SNEG,Snowy Egret,6,Aigrette neigeuse,Egretta thula,,216,
1980,REEG,Reddish Egret,7A,Aigrette roussâtre,Egretta rufescens,,219,
1990,TRHE,Tricolored Heron,6,Aigrette tricolore,Egretta tricolor,,218,
2000,LBHE,Little Blue Heron,6,Aigrette bleue,Egretta caerulea,,217,
2001,CAEG,Cattle Egret,6,Héron garde-boeufs,Bubulcus ibis,,220,
2010,GRHE,Green Heron,"5, 5A, 6",Héron vert,Butorides virescens,,221,
2020,BCNH,Black-crowned Night-Heron,"7A, 7",Bihoreau gris,Nycticorax nycticorax,,222,
2030,YCNH,Yellow-crowned Night-Heron,"7A, 7",Bihoreau violacé,Nyctanassa violacea,,223,
2040,WHCR,Whooping Crane,"9, 9V",Grue blanche,Grus americana,Y,287,
2060,SACR,Sandhill Crane,"8, 8A, 9",Grue du Canada,Antigone canadensis,,284,
2061,MSCR,Mississippi Sandhill Crane,"8, 8A",Grue du Canada (Mississippi),Antigone canadensis pulla,Y,285,
2070,LIMP,Limpkin,"7A, 6",Courlan brun,Aramus guarauna,,283,
2080,KIRA,King Rail,5,Râle élégant,Rallus elegans,Ontario,271,
2110,CLRA,Clapper Rail,"5, 4A",Râle gris,Rallus longirostris,,270,
2111,CRRA,California Ridgway's Rail,5,Râle de Californie,Rallus obsoletus obsoletus,Y,267,
2112,LFRR,Light-footed Ridgway's Rail,5,,Rallus obsoletus levipes,Y,268,
2113,YRRA,Yuma Ridgway's Rail,5,,Rallus obsoletus yumanensis,Y,269,
2120,VIRA,Virginia Rail,"2, 3, 2A",Râle de Virginie,Rallus limicola,,272,Band above the intertarsal joint only.
2131,YBCR,Yellow-breasted Crake,"3, 2",Marouette à sourcils blancs,Hapalocrex flaviventer,,274,
2140,SORA,Sora,"2, 2A, 3",Marouette de Caroline,Porzana carolina,,273,Band above the intertarsal joint only (size 2).
2150,YERA,Yellow Rail,"2, 1D",Râle jaune,Coturnicops noveboracensis,,261,
2160,BLRA,Black Rail,"1D, 1A, 2",Râle noir,Laterallus jamaicensis,,262,
2161,BBRA,Buff-banded Rail,4,Râle tiklin,Gallirallus philippensis,,265,
2162,GURA,Guam Rail,4,Râle de Guam,Gallirallus owstoni,Y,266,
2163,EBRA,Eastern Black Rail,"1D, 1A, 2",Râle noir este,Laterallusjamaicensis jamaicensis,,263,
2164,CBRA,California Black Rail,"1D, 1A, 2",Râle noir de Californie,Laterallus jamaicensis coturniculus,,264,
2180,PUGA,Purple Gallinule,"4, 4A, 5",Talève violacée,Porphyrio martinicus,,276,
2181,PUSW,Purple Swamphen,6,Talève sultan,Porphyrio porphyrio,,275,
