Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Taxonomic Order,Comments
7480,GCKI,Golden-crowned Kinglet,0A,Roitelet à couronne dorée,Regulus satrapa,,799,
7490,RCKI,Ruby-crowned Kinglet,0A,Roitelet à couronne rubis,Regulus calendula,,800,
7491,SIAC,Siberian Accentor,0A,Accenteur montanelle,Prunella montanella,,879,
7510,BGGN,Blue-gray Gnatcatcher,0A,Gobemoucheron gris-bleu,Polioptila caerulea,,791,
7520,BTGN,Black-tailed Gnatcatcher,0A,Gobemoucheron à queue noire,Polioptila melanura,,794,
7530,CAGN,California Gnatcatcher,0A,Gobemoucheron de Californie,Polioptila californica,Y,792,
7531,BCGN,Black-capped Gnatcatcher,0A,Gobemoucheron à coiffe noire,Polioptila nigriceps,,795,
7532,BACG,Baja Gnatcatcher,0A,,Polioptila californica,,793,
7540,TOSO,Townsend's Solitaire,1B,Solitaire de Townsend,Myadestes townsendi,,829,
7541,OMAO,Omao,"1A, 1D",Solitaire d'Hawaï,Myadestes obscurus,,833,
7542,PUAI,Puaiohi,1A,Solitaire puaïohi,Myadestes palmeri,Y,834,
7543,KAMA,Kamao,1A,Solitaire kamao,Myadestes myadestinus,Y,831,
7545,OLOM,Olomao,1A,Solitaire de Lanai,Myadestes lanaiensis,Y,832,
7550,WOTH,Wood Thrush,1A,Grive des bois,Hylocichla mustelina,Y,842,
7560,VEER,Veery,1B,Grive fauve,Catharus fuscescens,,836,
7570,GCTH,Gray-cheeked Thrush,1B,Grive à joues grises,Catharus minimus,,837,
7571,BITH,Bicknell's Thrush,1B,Grive de Bicknell,Catharus bicknelli,Y,838,
7579,GCBT,Unidentified Gray-cheeked/Bicknell's Thrush,1B,Grive à joues grises/Grive de Bicknell non identifié,,,839,
7580,SWTH,Swainson's Thrush,1B,Grive à dos olive,Catharus ustulatus,,840,
7590,HETH,Hermit Thrush,"1B, 1",Grive solitaire,Catharus guttatus,,841,
7600,REDW,Redwing,"2, 1A, 1D",Grive mauvis,Turdus iliacus,,846,
7610,AMRO,American Robin,2,Merle d'Amérique,Turdus migratorius,,850,
7612,FIEL,Fieldfare,2,Grive litorne,Turdus pilaris,,845,
7613,EYTH,Eyebrowed Thrush,2,Merle obscur,Turdus obscurus,,843,
7614,DUTH,Dusky Thrush,2,Grive de Naumann,Turdus naumanni,,844,
7621,CCTH,Clay-colored Thrush,2,Merle fauve,Turdus grayi,,847,
7622,RBRO,Rufous-backed Robin,2,Merle à dos roux,Turdus rufopalliatus,,849,
7623,RLTH,Red-legged Thrush,2,Merle vantard,Turdus plumbeus,,852,
7630,VATH,Varied Thrush,2,Grive à collier,Ixoreus naevius,,853,
7631,AZTH,Aztec Thrush,2,Grive aztèque,Ridgwayia pinicola,,854,
7640,BLUE,Bluethroat,"1, 1C",Gorgebleue à miroir,Cyanecula svecica,,821,
7641,SIRU,Siberian Rubythroat,"1B, 1",Rossignol calliope,Calliope calliope,,820,
7642,RFBL,Red-flanked Bluetail,0,Rossignol à flancs roux,Tarsiger cyanurus,,822,
7650,NOWH,Northern Wheatear,1B,Traquet motteux,Oenanthe oenanthe,,824,
